"d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "identif" "lsize" "razd" "raz92d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm"
0 0 0 0 0 11 11 11 31 0 1989-01-01 2807 1174 6509 439 298 141 6 1168 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "113" 8.78094111357239 "0" "0" 0 0 1 0 0 0 0.110273800552625 0.321184510250569 0.293393619693544 8.78094111357239 0.808654235860552 "0" 0.11015317264026 "0"
0 0 0 0 0 11 11 11 31 0 1990-01-01 3723 1209 6134 270 48 222 124 1085 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "113" 8.7216023446742 "0" "0" 0 0 1 0 0 0 0.0547445255474453 0.822222222222222 0.219991889699919 8.7216023446742 0.886655074983699 "0" 0.116473494204826 "0"
0 0 0 0 0 11 11 11 31 0 1991-01-01 4451 990 6149 382 41 341 143 847 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "113" 8.72404474595347 "0" "0" 0 0 1 0 0 0 0.0702076824113214 0.892670157068063 0.15566991361882 8.72404474595347 0.958094098883573 "0" 0.129344816950258 "0"
0 0 0 0 0 0 0 33 1 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "116" NA "0" "0" 0 0 0 1 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 12 12 19 NA 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "119" NA "0" "0" 0 0 0 1 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 3 0 0 15 15 15 4 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "123" NA "1" "1" 1 1 0 0 1 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 19 19 19 31 1 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "127" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 15 15 15 12 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "128" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 1 0 12 12 11 9 1 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "129" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 14 13 13 15 0 1989-01-01 815 91 1057 252 249 3 15 76 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "139" 6.96318998587024 "0" "0" 1 0 1 0 0 0 0.278145695364238 0.0119047619047619 0.0838852097130243 6.96318998587024 0.808654235860552 "0" 0.11015317264026 "1"
0 0 0 0 0 14 13 13 15 0 1990-01-01 728 95 1010 216 208 8 25 70 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "139" 6.9177056098353 "0" "0" 1 0 1 0 0 0 0.262454434993925 0.037037037037037 0.0850546780072904 6.9177056098353 0.886655074983699 "0" 0.116473494204826 "1"
0 0 0 0 0 14 13 13 15 0 1991-01-01 710 61 1138 283 274 9 18 43 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "139" 7.03702761468628 "0" "0" 1 0 1 0 0 0 0.367055771725032 0.0318021201413428 0.0557717250324254 7.03702761468628 0.958094098883573 "0" 0.129344816950258 "1"
0 0 0 0 0 14 19 20 12 0 1989-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "142" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.808654235860552 NA 0.11015317264026 NA
0 0 0 0 0 14 19 20 12 0 1990-01-01 492 59 865 53 23 30 11 47 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "142" 6.76272950693188 "0" "0" 0 0 1 0 0 0 0.0961887477313975 0.566037735849057 0.0852994555353902 6.76272950693188 0.886655074983699 "0" 0.116473494204826 "1"
0 0 0 0 0 14 19 20 12 0 1991-01-01 723 46 1549 80 50 30 4 41 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "142" 7.34536484041687 "0" "0" 0 0 1 0 0 0 0.104031209362809 0.375 0.0533159947984395 7.34536484041687 0.958094098883573 "0" 0.129344816950258 "1"
