"identif" "eta92c" "eta95c" "persist"
2628 NA 17 "0"
2629 12 15 "0"
2635 NA 50 "0"
2637 20 NA "0"
2638 26 29 "0"
2639 NA 28 "0"
2641 NA 62 "0"
2642 NA 21 "0"
2643 15 NA "0"
2648 NA 56 "0"
2649 21 24 "0"
2650 NA 15 "0"
2651 NA 7 "0"
2652 46 NA "0"
2653 NA 38 "0"
2659 21 NA "0"
2660 18 NA "0"
2662 NA 17 "0"
2663 NA 20 "0"
2664 12 15 "0"
2666 5 NA "0"
2667 9 12 "0"
2673 5 8 "0"
2674 47 NA "0"
2675 NA NA "0"
2676 3 6 "0"
2677 13 NA "0"
2678 NA 18 "0"
2682 28 NA "0"
2683 NA NA "0"
2687 NA 76 "0"
2688 23 NA "0"
2690 NA 31 "0"
2691 NA 15 "0"
2695 NA 28 "0"
2696 14 17 "0"
2697 NA 36 "0"
2698 13 16 "0"
2699 NA 15 "0"
2700 42 45 "0"
2701 NA 6 "0"
2706 21 NA "0"
2707 NA 20 "0"
2708 NA 35 "0"
2709 85 88 "0"
2710 35 NA "0"
2712 23 26 "0"
2713 23 26 "0"
2715 19 NA "0"
2716 12 NA "0"
2717 NA 49 "0"
2718 45 NA "0"
2720 NA 21 "0"
2721 NA 27 "0"
2724 NA 15 "0"
2725 18 21 "0"
2726 28 31 "0"
2728 35 38 "0"
2730 NA 23 "0"
2731 13 16 "0"
2733 12 15 "0"
2734 9 12 "0"
2735 NA 9 "0"
2737 NA 76 "0"
2739 NA 48 "0"
2742 NA NA "0"
2743 NA 34 "0"
2744 25 28 "0"
2746 23 26 "0"
2749 NA 16 "0"
2751 NA NA "0"
2752 NA 12 "0"
2757 NA NA "0"
2758 23 NA "0"
2759 3 NA "0"
2761 NA 4 "0"
2762 NA 84 "0"
2763 NA 27 "0"
2765 15 NA "0"
2767 32 NA "0"
2768 20 NA "0"
2772 NA 8 "0"
2773 NA 34 "0"
2776 25 NA "0"
2777 46 NA "0"
2778 19 NA "0"
2780 66 69 "0"
2783 3 NA "0"
2784 10 NA "0"
2786 NA NA "0"
2787 22 NA "0"
2788 92 NA "0"
2789 NA 43 "0"
2791 82 NA "0"
2793 34 37 "0"
2794 23 26 "0"
2795 13 16 "0"
2796 24 27 "0"
2797 5 NA "0"
2799 21 NA "0"
2800 32 35 "0"
2801 12 15 "0"
2803 67 70 "0"
2804 69 NA "0"
2806 25 28 "0"
2807 NA 25 "0"
2808 NA 17 "0"
2809 NA 14 "0"
2810 11 NA "0"
2812 7 NA "0"
2814 NA 30 "0"
2817 5 8 "0"
2818 15 18 "0"
2821 NA 14 "0"
2822 NA 6 "0"
2830 7 10 "0"
2831 15 NA NA
2832 NA 16 "0"
2836 7 10 "0"
2844 9 12 "0"
2845 5 8 "0"
2847 53 NA "0"
2848 10 NA "0"
2853 14 NA "0"
2856 4 NA "0"
2859 5 NA "0"
2860 6 9 "0"
2861 NA 5 "0"
2862 9 NA "0"
2865 NA 13 "0"
2876 NA 15 "0"
