"identif" "d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "razd" "raz01d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "desi01" "persist" "perdesi"
42390303 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 4473 1274 6359 213 116 97 15 1255 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 49 49 50 32 NA 1 0 0 0 0 1 0 0 0 0.0370628153819384 0.455399061032864 0.218374804245693 8.75762641126741 0.632456223065049 0 0.100114425048501 0 1 0 1
43030304 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 536 1033 1390 155 20 135 15 572 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 28 28 28 37 NA 1 0 0 0 0 1 0 0 0 0.0987890376035691 0.870967741935484 0.364563416188655 7.23705902612474 0.682926829268293 1 0.0995614662892028 0 0 0 0
43030304 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 388 1012 1445 129 23 106 11 531 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 28 28 28 37 NA 1 0 0 0 0 1 0 0 0 0.0921428571428571 0.821705426356589 0.379285714285714 7.27586460054653 0.598704696626315 1 0.100247520197656 0 0 0 0
43030304 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 435 969 1063 71 -43 114 7 501 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 28 28 28 37 NA 1 0 0 0 0 1 0 0 0 0.0505698005698006 1.6056338028169 0.356837606837607 6.96885037834195 0.632456223065049 1 0.100114425048501 0 0 0 0
43480301 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 2798.67993616593 1794.68772433597 7149.82931099485 417.813631363394 166.815578405904 250.99805295749 12.9114224772372 1635.10254251731 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 1 NA NA 143 118 112 40 40 1 0 0 0 0 1 0 0 0 0.0909601978862154 0.600741656365884 0.355970317067686 8.87484376281497 0.682926829268293 0 0.0995614662892028 0 1 0 1
43480301 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 2737.73802207337 1602.04930097559 6329.69575524075 418.330088262484 289.732320389202 128.597767873282 10.3291379817897 1571.57834392931 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 1 NA NA 143 118 112 40 40 1 0 0 0 0 1 0 0 0 0.0963941449482329 0.307407407407407 0.362132571700583 8.7530074500401 0.598704696626315 0 0.100247520197656 0 1 0 1
43480301 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 2845 2245 6014 124 4 120 7 2226 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 1 NA NA 143 118 112 40 40 1 0 0 0 0 1 0 0 0 0.0243614931237721 0.967741935483871 0.437328094302554 8.70184536354847 0.632456223065049 1 0.100114425048501 0 1 0 1
43930949 NA NA NA NA NA NA NA NA NA 1 "1998-01-01" 14772.7331415557 3466.45870668863 24961.9113036922 1166.67613504315 1101.60256575788 65.0735692852753 40.8000950280694 2957.2322041864 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 1 NA NA 191 191 190 28 24 1 0 0 0 0 1 0 0 0 0.0639653414882773 0.0557768924302788 0.162136142258466 10.1251063942188 0.682926829268293 0 0.0995614662892028 0 0 0 0
43930949 NA NA NA NA NA NA NA NA NA 1 "1999-01-01" 24121.6359288736 3694.2161991871 24247.6514122514 1718.25210327072 1359.31455840353 358.937544867193 40.8000950280694 3121.46549809686 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 1 NA NA 191 191 190 28 24 1 0 0 0 0 1 0 0 0 0.0617724057260625 0.208896904117824 0.112218942052396 10.0960750426961 0.598704696626315 0 0.100247520197656 0 0 0 0
43930949 NA NA NA NA NA NA NA NA NA 1 "2000-01-01" 27294 4069 24974 1612 709 903 24 3644 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 1 NA NA 191 191 190 28 24 1 0 0 0 0 1 0 0 0 0.0513981443101744 0.560173697270472 0.116187864681312 10.1255905626751 0.632456223065049 0 0.100114425048501 0 0 0 0
45930535 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 2792.99891027594 775.718262432409 5941.83662402454 134.278793763267 24.2734742572061 110.005319506061 0 688.437046486285 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 22 22 22 51 51 1 0 0 0 0 1 0 0 0 0.0376266280752533 0.819230769230768 0.192908827785818 8.6897735605292 0.682926829268293 1 0.0995614662892028 0 0 0 0
45930535 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 2643.74286643908 708.578865550776 6006.91019330982 53.1950606062169 -30.4709570462799 83.6660176524968 0 681.206649899033 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 22 22 22 51 51 1 0 0 0 0 1 0 0 0 0.0158681250962871 1.57281553398059 0.203204436912648 8.70066578439877 0.598704696626315 1 0.100247520197656 0 0 0 0
45930535 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 2883 615 5626 148 58 90 0 595 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 22 22 22 51 51 1 0 0 0 0 1 0 0 0 0.0423098913664951 0.608108108108108 0.170097198399085 8.6351539890498 0.632456223065049 0 0.100114425048501 0 0 0 0
46830338 NA NA NA NA NA NA NA NA NA 1 "1998-01-01" 12046.3571712623 6071.467305696 22301.1253595831 3299.12667138364 2803.32804825773 495.798623125907 104.324293616076 4043.85751987068 NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 160 160 200 46 46 1 0 0 0 0 1 0 0 0 0.182092870784755 0.150281778334377 0.223197742367663 10.0123924207302 0.682926829268293 0 0.0995614662892028 0 0 0 0
