"identif" "eta98c" "eta01c" "persist" "perdesi"
"870" 169430255 NA NA 0 0
"871" 169440254 NA NA 0 0
"872" 169510287 NA NA 0 0
"873" 169720191 NA NA 0 0
"874" 169720249 NA NA 0 0
"875" 170050258 NA NA 0 0
"876" 170060257 NA NA 0 0
"877" 170120282 NA NA 0 0
"878" 170120373 NA NA 0 0
"879" 170190252 26 29 0 0
"880" 170340253 NA NA 0 0
"881" 170350665 31 34 0 0
"882" 170370663 NA NA 0 0
"883" 170430285 NA NA 0 0
"884" 170460340 NA NA 0 0
"885" 170540661 32 35 0 0
"886" 170620258 NA NA 0 0
"887" 170720279 NA NA 0 0
"888" 170730255 NA NA 0 0
"889" 170740254 NA NA 0 0
"890" 170860325 17 20 0 0
"891" 170860663 NA NA 0 0
"892" 171030670 NA NA 0 0
"893" 171110373 NA NA 0 0
"894" 171130189 NA NA 0 0
"895" 171230213 NA NA 0 0
"896" 171250253 NA NA 0 0
"897" 171300370 NA NA 0 0
"898" 171320254 NA NA 0 0
"900" 171440250 NA NA 0 0
"901" 171450249 NA NA 0 0
"902" 171450464 NA NA 0 0
"903" 171570196 36 39 0 0
"904" 171590069 37 40 0 0
"905" 171590252 NA NA 0 0
"906" 171720213 NA NA 0 0
"907" 171880074 NA NA 0 0
"908" 172040884 NA NA 0 0
"909" 172160195 32 35 0 0
"910" 172170069 NA NA 0 0
"911" 172170475 NA NA 0 0
"912" 172710354 NA NA 0 0
"913" 172810195 NA NA 0 0
"914" 173160046 NA NA 0 0
"915" 173570450 NA NA 0 0
"916" 174260415 NA NA 0 0
"917" 174290198 NA NA 0 0
"918" 174390196 NA NA 0 0
"920" 174540378 NA NA 0 1
"921" 174650276 NA NA 0 0
"922" 174670274 NA NA 0 0
"923" 174720343 NA NA 0 0
"924" 174890401 NA NA 0 0
"925" 175990374 NA NA 0 0
"926" 176070192 NA NA 0 0
"929" 177440295 NA NA 0 0
"930" 177810273 NA NA 0 0
"931" 177870376 NA NA 0 0
"932" 177870608 30 33 0 0
"935" 178950433 NA NA 0 0
"936" 179200861 NA NA 0 0
"937" 179210457 24 27 0 0
"938" 179720429 24 27 0 0
"939" 179790432 NA NA 0 0
"940" 179870200 NA NA 0 0
"941" 180010481 NA NA 0 0
"942" 180020134 NA NA 0 0
"943" 180030166 NA NA 0 0
"944" 180080666 NA NA 0 0
